Sample ID,Project,Sample,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Notes,Sanger.Plate.Name
RA2561,AH,AH33,D12,PCR,2,8,2,FatP6.1,Plate038,,
RA2475,NA,positive,E1,PCR,2,8,2,FatP6.1,Plate038,Positive control H2,
RA2546,AH,AH57,E10,PCR,2,8,2,FatP6.1,Plate038,,
RA2554,AH,AH54,E11,PCR,2,8,2,FatP6.1,Plate038,,
RA2562,AH,AH112,E12,PCR,2,8,2,FatP6.1,Plate038,,
RA2482,AH,AH38,E2,PCR,2,8,2,FatP6.1,Plate038,,
RA2490,AH,AH39,E3,PCR,2,8,2,FatP6.1,Plate038,,
RA2498,AH,AH41,E4,PCR,2,8,2,FatP6.1,Plate038,,
RA2506,AH,AH44,E5,PCR,2,8,2,FatP6.1,Plate038,,
RA2514,AH,AH45,E6,PCR,2,8,2,FatP6.1,Plate038,,
RA2522,AH,AH47,E7,PCR,2,8,2,FatP6.1,Plate038,,
RA2530,AH,AH48,E8,PCR,2,8,2,FatP6.1,Plate038,,
RA2538,AH,AH56,E9,PCR,2,8,2,FatP6.1,Plate038,,
EMPTY FOR JANET,NA,negative,F1,PCR,2,8,2,FatP6.1,Plate038,Negative control,
RA2547,AH,AH112,F10,PCR,2,8,2,FatP6.1,Plate038,,
RA2555,AH,AH123,F11,PCR,2,8,2,FatP6.1,Plate038,,
RA2563,AH,AH125,F12,PCR,2,8,2,FatP6.1,Plate038,,
RA2483,AH,AH114,F2,PCR,2,8,2,FatP6.1,Plate038,,
RA2491,AH,AH115,F3,PCR,2,8,2,FatP6.1,Plate038,,
RA2499,AH,AH116,F4,PCR,2,8,2,FatP6.1,Plate038,,
RA2507,AH,AH117,F5,PCR,2,8,2,FatP6.1,Plate038,,
RA2515,AH,AH118,F6,PCR,2,8,2,FatP6.1,Plate038,,
RA2523,AH,AH119,F7,PCR,2,8,2,FatP6.1,Plate038,,
RA2531,AH,AH120,F8,PCR,2,8,2,FatP6.1,Plate038,,
RA2539,AH,AH121,F9,PCR,2,8,2,FatP6.1,Plate038,,
RA2476,AH,AH126,G1,PCR,2,8,2,FatP6.1,Plate038,,
RA2548,AH,AH49,G10,PCR,2,8,2,FatP6.1,Plate038,,
RA2556,AH,AH50,G11,PCR,2,8,2,FatP6.1,Plate038,,
RA2564,AH,AH52,G12,PCR,2,8,2,FatP6.1,Plate038,,
RA2484,AH,AH139,G2,PCR,2,8,2,FatP6.1,Plate038,,
RA2492,AH,AH34,G3,PCR,2,8,2,FatP6.1,Plate038,,
RA2500,AH,AH35,G4,PCR,2,8,2,FatP6.1,Plate038,,
RA2508,AH,AH37,G5,PCR,2,8,2,FatP6.1,Plate038,,
RA2516,AH,AH40,G6,PCR,2,8,2,FatP6.1,Plate038,,
RA2524,AH,AH42,G7,PCR,2,8,2,FatP6.1,Plate038,,
RA2532,AH,AH43,G8,PCR,2,8,2,FatP6.1,Plate038,,
RA2540,AH,AH46,G9,PCR,2,8,2,FatP6.1,Plate038,,
RA2477,AH,AH53,H1,PCR,2,8,2,FatP6.1,Plate038,,
RA2549,AH,AH180,H10,PCR,2,8,2,FatP6.1,Plate038,,
RA2557,AH,AH181,H11,PCR,2,8,2,FatP6.1,Plate038,,
RA2565,AH,AH182,H12,PCR,2,8,2,FatP6.1,Plate038,,
RA2485,AH,AH64,H2,PCR,2,8,2,FatP6.1,Plate038,,
RA2493,AH,AH55,H3,PCR,2,8,2,FatP6.1,Plate038,,
RA2501,AH,AH58,H4,PCR,2,8,2,FatP6.1,Plate038,,
RA2509,AH,AH60,H5,PCR,2,8,2,FatP6.1,Plate038,,
RA2517,AH,AH61,H6,PCR,2,8,2,FatP6.1,Plate038,,
RA2525,AH,AH62,H7,PCR,2,8,2,FatP6.1,Plate038,,
RA2533,AH,AH63,H8,PCR,2,8,2,FatP6.1,Plate038,,
RA2541,AH,AH179,H9,PCR,2,8,2,FatP6.1,Plate038,,
