Date,sample_id,Species,Lifestage,Hour.Exposure,Chamber.Channel,Position,Run,Temp.Cat,Tank,Time.Loaded,Time.Temp.Reached,Time.3.5h,Time.Measured,Time.Sampled,Total.Incubation,Chamber.Vol.L,Notes
20231108,POR-A15,Porites,Adult,4,1,P1-1,Run1,33,3,7:30,,,,,,,
20231108,POC-R19,Pocillopora,Recruit,4,2,P2-7,Run1,33,3,7:30,,,,,,,
20231108,BK-1,Blank,Blank,4,3,P2-3,Run1,33,3,7:30,,,,,,,
20231108,ACR-R13,Acropora,Recruit,4,4,P2-5,Run1,33,3,7:30,,,,,,,
20231108,POC-R14,Pocillopora,Recruit,4,5,P1-3,Run1,33,3,7:30,,,,,,,
20231108,ACR-A6,Acropora,Adult,4,6,P2-6,Run1,33,3,7:30,,,,,,,
20231108,POR-R28,Porites,Recruit,4,7,P1-2,Run1,33,3,7:30,,,,,,,
20231108,POC-A11,Pocillopora,Adult,4,8,P2-9,Run1,33,3,7:30,,,,,,,
20231108,POR-R19,Porites,Recruit,4,9,P1-4,Run1,33,3,7:30,,,,,,,
20231108,ACR-R16,Acropora,Recruit,4,10,P1-5,Run1,33,3,7:30,,,,,,,
20231108,BK-2,Blank,Blank,4,11,P1-6,Run1,33,3,7:30,,,,,,,
20231108,POR-A10,Porites,Adult,4,12,P2-4,Run1,33,3,7:30,,,,,,,
20231108,LOG-1,logger,logger,4,13,P1-8,Run1,33,3,7:30,,,,,,,
20231108,POC-A10,Pocillopora,Adult,4,14,P1-7,Run1,33,3,7:30,,,,,,,
20231108,POR-R13,Porites,Recruit,4,15,P2-8,Run1,33,3,7:30,,,,,,,
20231108,POC-R30,Pocillopora,Recruit,4,16,P2-1,Run1,33,3,7:30,,,,,,,
20231108,ACR-R12,Acropora,Recruit,4,17,P1-9,Run1,33,3,7:30,,,,,,,
20231108,ACR-A9,Acropora,Adult,4,18,P2-2,Run1,33,3,7:30,,,,,,,
20231108,,Acropora,Recruit,4,1,P1-1,Run2,27,,,,,,,,,
20231108,,Acropora,Adult,4,2,P1-2,Run2,27,,,,,,,,,
20231108,BK-3,Blank,Blank,4,3,P1-3,Run2,27,,,,,,,,,
