Run,Light_Level,Light_Value,Date,Start.time,Stop.time,Light_Percent
Run1,0,0,20231106,11:12,11:27,0
Run1,1,9,20231106,11:29,11:44,2
Run1,2,29,20231106,11:46,12:01,5
Run1,3,79,20231106,12:05,12:20,10
Run1,4,143,20231106,12:21,12:36,15
Run1,5,206,20231106,12:37,12:52,20
Run1,6,317,20231106,12:53,13:08,30
Run1,7,514,20231106,13:10,13:25,50
Run1,8,700,20231106,13:26,13:41,70
Run1,9,846,20231106,13:43,13:58,100
Run2,0,0,20231106,15:51,16:06,0
Run2,1,9,20231106,16:08,16:23,2
Run2,2,29,20231106,16:25,16:40,5
Run2,3,79,20231106,16:42,16:57,10
Run2,4,143,20231106,16:59,17:14,15
Run2,5,206,20231106,17:16,17:31,20
Run2,6,317,20231106,17:33,17:48,30
Run2,7,514,20231106,17:50,18:05,50
Run2,8,700,20231106,18:09,18:24,70
Run2,9,846,20231106,18:28,18:43,100
Run3,0,0,20231107,12:38,12:52,0
Run3,1,9,20231107,12:54,13:09,2
Run3,2,29,20231107,13:11,13:26,5
Run3,3,79,20231107,13:28,13:43,10
Run3,4,143,20231107,13:45,14:00,15
Run3,5,206,20231107,14:02,14:17,20
Run3,6,317,20231107,14:19,14:39,30
Run3,7,514,20231107,14:41,14:56,50
Run3,8,700,20231107,14:58,15:13,70
Run3,9,846,20231107,15:15,15:30,100
